_G Int,G FWHM,G Shift,_2D Int,2D FWHM,2D Shift,_2D_MassCenter,_D Int,2D/G,D/G,_R Int,_Rp Int,R/G,Rp/G,_Target
1899.0095,14.2709,1585.473,925.0281,54.5136,2694.221,2692.0451,63.004,0.487110833,0.033177296,0,0,0,0,BLG-AB
1636.0468,18.5164,1583.407,957.0735,59.5102,2690.145,2689.2684,68.0006,0.584991517,0.04156397,0,0,0,0,BLG-AB
1887.0174,14.3512,1586.863,940.0676,53.8293,2696.76,2694.4268,59.0018,0.498176434,0.031267226,0,0,0,0,BLG-AB
1860.0483,14.6742,1585.229,938.0034,55.1057,2694.357,2692.5255,65.005,0.504289808,0.034948017,0,0,0,0,BLG-AB
1936.9584,14.35,1584.785,984.0073,53.6333,2694.164,2692.1634,78.006,0.508016744,0.040272419,0,0,0,0,BLG-AB
1781.0126,15.2627,1585.572,923.062,55.3128,2693.999,2692.2707,60.0024,0.51827932,0.033690048,0,0,0,0,BLG-AB
1756.0168,16.0826,1584.519,943.0166,54.7476,2693.074,2691.6572,83.0026,0.537020261,0.047267543,0,0,0,0,BLG-AB
1668.0253,16.2345,1586.246,941.0508,53.17,2695.374,2693.397,63.004,0.564170579,0.037771609,0,0,0,0,BLG-AB
1832.0164,14.9426,1586.156,954.0261,54.364,2695.711,2693.4682,65.005,0.520751943,0.035482761,0,0,0,0,BLG-AB
1802.0113,15.5469,1586.928,965.0357,53.8411,2698.016,2695.618,59.0018,0.535532546,0.032742192,0,0,0,0,BLG-AB
1802.0113,15.5726,1587.263,964.0525,52.8182,2698.717,2696.1444,83.0026,0.534986934,0.046061087,0,0,0,0,BLG-AB
1828.019,14.8778,1586.218,935.0544,54.8314,2696.817,2694.855,75.0043,0.511512408,0.041030372,0,0,0,0,BLG-AB
1905.0307,14.0394,1585.58,926.011,54.0115,2694.482,2692.3739,64.0045,0.48608718,0.033597621,0,0,0,0,BLG-AB
1781.0126,15.2706,1586.013,943.0166,54.0565,2695.024,2693.53,81.0015,0.529483396,0.045480588,0,0,0,0,BLG-AB
2000.9662,13.909,1585.462,942.0337,55.0385,2695.376,2693.095,91.0008,0.470789412,0.045478429,0,0,0,0,BLG-AB
1808.0325,15.1537,1584.759,931.0242,56.0337,2693.975,2691.7854,76.0049,0.514937757,0.042037353,0,0,0,0,BLG-AB
1942.9798,13.8192,1584.283,905.0735,54.9616,2691.235,2689.5244,64.0045,0.465817246,0.032941413,0,0,0,0,BLG-AB
1864.0455,13.9459,1585.357,922.0791,54.9873,2693.472,2691.6271,55.0057,0.494665554,0.029508775,0,0,0,0,BLG-AB
1797.0019,14.7964,1586.182,905.0735,54.8765,2694.508,2692.5786,58.0013,0.503657509,0.032276705,0,0,0,0,BLG-AB
1891.0148,13.9953,1587.053,889.0508,54.4062,2696.351,2693.8881,53.0047,0.470144813,0.028029765,0,0,0,0,BLG-AB
1845.0202,14.0036,1587.687,897.0129,54.5191,2698.372,2695.8994,62.0034,0.486180531,0.033605811,0,0,0,0,BLG-AB
1961.9545,14.2901,1584.544,941.0508,54.2587,2692.955,2691.2405,121.0048,0.479649655,0.06167564,0,0,0,0,BLG-AB
1620.007,16.5467,1586.546,873.0281,55.3765,2694.61,2692.4765,70.0017,0.538903906,0.043210739,0,0,0,0,BLG-AB
1652.0361,15.9186,1586.774,867.032,57.461,2695.824,2693.532,66.0056,0.524826304,0.039954091,0,0,0,0,BLG-AB
1752.0196,15.5368,1586.512,910.0867,54.3667,2695.672,2693.5727,56.0002,0.519450068,0.031963227,0,0,0,0,BLG-AB
1798.0138,14.9355,1585.861,929.0583,55.4914,2694.271,2692.4954,65.005,0.516713665,0.036153783,0,0,0,0,BLG-AB
1778.0273,15.0048,1586.515,903.0092,55.3654,2696.11,2693.9103,59.0018,0.507871392,0.033183855,0,0,0,0,BLG-AB
1717.0051,16.0947,1586.451,983.0241,53.2441,2696.488,2694.6904,68.0006,0.572522528,0.039604192,0,0,0,0,BLG-AB
1733.0449,15.5643,1586.716,910.0867,55.8502,2697.138,2694.931,64.0045,0.525137404,0.036931819,0,0,0,0,BLG-AB
1806.0085,15.1681,1586.1,912.0527,55.515,2694.589,2692.3961,62.0034,0.505010192,0.034331732,0,0,0,0,BLG-AB
1673.0346,16.2621,1585.365,955.009,55.1521,2693.224,2692.0174,62.0034,0.570824417,0.037060441,0,0,0,0,BLG-AB
1762.0382,15.337,1583.556,941.0508,54.2559,2689.409,2688.7388,63.004,0.534069466,0.035756319,0,0,0,0,BLG-AB
1813.0418,14.6754,1585.276,937.0205,55.1341,2694.364,2692.5635,76.0049,0.516822337,0.041921207,0,0,0,0,BLG-AB
1688.0118,15.5258,1587.047,903.0092,53.1493,2696.308,2694.0888,60.0024,0.534954317,0.035546197,0,0,0,0,BLG-AB
1737.0423,15.8651,1586.158,912.0527,56.5642,2695.521,2693.6574,82.0021,0.525060731,0.047207889,0,0,0,0,BLG-AB
1818.0006,14.2513,1584.95,915.0017,55.2698,2692.537,2690.9385,67.0001,0.503301099,0.036853728,0,0,0,0,BLG-AB
1815.0152,14.6448,1585.019,916.0828,55.5067,2693.358,2691.5231,64.0045,0.504724589,0.035263892,0,0,0,0,BLG-AB
1674.0467,15.974,1586.387,930.0413,54.8952,2696.788,2694.5898,63.004,0.555564728,0.037635748,0,0,0,0,BLG-AB
