G FWHM,G Shift,2D FWHM,2D Shift,2D/G,D/G,R/G,R'/G,_Target
15.1144,1583.479,28.5876,2676.72,2.640228114,0.25892919,0,0,SLG
13.7657,1589.469,30.7505,2679.846,1.530290842,0.069297986,0,0,SLG
15.4663,1586.363,28.4987,2679.626,2.189480315,0.096920989,0,0,SLG
17.6829,1586.819,29.7977,2681.76,2.896764523,0.061698952,0,0,SLG
14.3327,1590.559,33.2893,2680.898,1.415575286,0.062499551,0,0,SLG
14.7694,1587.045,29.1003,2680.673,2.438976239,0.048117592,0,0,SLG
16.7144,1585.87,34.8361,2681.86,1.723077092,0.119613428,0,0,SLG
15.797,1588.399,30.0215,2683.28,2.390806992,0.055149829,0,0,SLG
13.575,1590.495,31.1016,2682.876,1.555339474,0.072024592,0,0,SLG
14.6291,1585.865,28.3335,2679.912,2.437853963,0.049109086,0,0,SLG
13.0246,1594.236,33.9022,2683.849,1.111108245,0.057971485,0,0,SLG
16.4747,1585.949,28.8296,2679.938,2.378483105,0.110101974,0,0,SLG
12.8444,1593.46,32.2235,2683.05,1.208911623,0.060787349,0,0,SLG
13.8051,1585.49,29.3652,2678.496,2.239414939,0.058898702,0,0,SLG
13.5011,1585.034,28.189,2677.977,2.319849781,0.058527422,0,0,SLG
13.9481,1587.429,28.9251,2682.038,2.136875512,0.039162816,0,0,SLG
12.3411,1590.379,31.956,2681.898,1.385737264,0.070908513,0,0,SLG
14.1835,1584.999,28.4176,2677.642,2.387729173,0.057614524,0,0,SLG
13.6894,1584.021,28.193,2676.765,2.444055002,0.068089417,0,0,SLG
14.7566,1589.331,29.7309,2685.258,2.289511872,0.049993391,0,0,SLG
12.9568,1587.098,28.3841,2681.332,2.287528121,0.044367193,0,0,SLG
15.3608,1588.197,28.9102,2682.613,2.554619437,0.051188002,0,0,SLG
14.4962,1587.346,28.8603,2682.888,2.311487424,0.064056659,0,0,SLG
13.2745,1585.283,28.4232,2678.398,2.232967766,0.052636119,0,0,SLG
14.7068,1586.486,29.1645,2678.723,2.323895786,0.045109292,0,0,SLG
16.651,1583.559,29.7016,2677.758,2.798008664,0.062299333,0,0,SLG
15.7912,1588.637,28.9855,2683.113,2.434418896,0.054344305,0,0,SLG
15.1387,1586.344,28.9813,2677.778,2.199502902,0.11938405,0,0,SLG
14.9426,1586.523,28.6617,2680.543,2.449832872,0.047979994,0,0,SLG
12.9574,1594.148,33.407,2687.561,1.195251518,0.159707632,0,0,SLG
14.8159,1585.312,28.9493,2679.895,2.218786872,0.087139166,0,0,SLG
13.7369,1585.871,28.3821,2679.221,2.313767673,0.04335089,0,0,SLG
15.5866,1585.979,29.3135,2681.096,2.493571063,0.077191926,0,0,SLG
15.5719,1583.938,29.4113,2675.4,2.537288123,0.059343931,0,0,SLG
16.1273,1588.101,29.8107,2684.275,2.691375271,0.055860017,0,0,SLG
16.3388,1585.696,30.9564,2677.48,2.502313766,0.055703953,0,0,SLG
13.7625,1586.684,28.6069,2681.475,2.306755737,0.062630126,0,0,SLG
14.3247,1587.904,30.8345,2682.627,2.107037599,0.081262078,0,0,SLG
14.5694,1591.779,32.5947,2683.775,1.424501058,0.084094611,0,0,SLG
13.6972,1586.218,28.9107,2679.824,2.163934953,0.055556429,0,0,SLG
14.0404,1580.355,52.1492,2691.597,0.744968709,0.03277016,0,0,BLG-AB
16.069,1583.521,52.3445,2696.616,0.760550802,0.040823163,0,0,BLG-AB
13.617,1580.724,52.3401,2691.851,0.740197112,0.03435058,0,0,BLG-AB
15.0733,1582.6,52.9913,2696.687,0.79928098,0.03616771,0,0,BLG-AB
14.0971,1581.26,51.3753,2694.051,0.768338392,0.035223384,0,0,BLG-AB
14.8476,1584.9,56.2456,2693.986,0.555030698,0.030876718,0,0,BLG-AB
17.5321,1585.341,53.4221,2693.234,0.629339636,0.038638879,0,0,BLG-AB
15.4527,1584.028,54.792,2691.256,0.559682507,0.032444857,0,0,BLG-AB
14.9607,1584.482,54.08,2692.851,0.508135564,0.038525904,0,0,BLG-AB
14.6567,1581.585,53.1328,2694.016,0.66573684,0.049886033,0,0,BLG-AB
13.8038,1585.483,53.3993,2696.312,0.520480695,0.03684396,0,0,BLG-AB
14.6045,1581.987,51.656,2696.193,0.768338984,0.034695844,0,0,BLG-AB
14.4,1581.568,53.5788,2689.063,0.54982778,0.036426128,0,0,BLG-AB
16.8924,1585.654,55.9859,2693.944,0.614079042,0.035902574,0,0,BLG-AB
14.3367,1583.547,50.7818,2697.621,0.731126868,0.04292124,0,0,BLG-AB
15.5533,1585.784,54.0738,2695.714,0.579660547,0.031593304,0,0,BLG-AB
14.8254,1584.933,54.0226,2693.219,0.526922658,0.031108599,0,0,BLG-AB
17.719,1581.404,53.8216,2691.264,0.814469546,0.043093821,0,0,BLG-AB
14.6354,1582.014,52.5304,2694.848,0.69958376,0.03617311,0,0,BLG-AB
17.4899,1587.386,55.5226,2699.173,0.598082722,0.046946316,0,0,BLG-AB
14.3301,1581.536,52.1345,2693.429,0.683189851,0.03412997,0,0,BLG-AB
16.0674,1583.367,52.908,2697.204,0.746919494,0.039139272,0,0,BLG-AB
14.5004,1585.332,54.3384,2696.239,0.544836315,0.041998976,0,0,BLG-AB
14.4352,1584.952,53.6569,2693.913,0.537927918,0.028075658,0,0,BLG-AB
16.081,1579.836,54.343,2690.862,0.709140581,0.056587085,0,0,BLG-AB
14.8785,1583.199,53.9706,2695.196,0.616039967,0.048631926,0,0,BLG-AB
15.4286,1588.231,55.8412,2698.91,0.515211946,0.032203817,0,0,BLG-AB
13.3239,1584.625,53.4168,2696.68,0.531171763,0.041717407,0,0,BLG-AB
14.1843,1581.837,52.9143,2694.106,0.642640456,0.038291868,0,0,BLG-AB
14.7492,1585.93,54.9111,2695.129,0.496230429,0.043479488,0,0,BLG-AB
15.4211,1583.474,53.9676,2697.792,0.726317053,0.03397552,0,0,BLG-AB
15.2834,1585.187,53.9256,2694.304,0.569292546,0.039660605,0,0,BLG-AB
14.4034,1582.767,53.1039,2695.799,0.740923599,0.03319375,0,0,BLG-AB
14.3171,1580.572,52.3173,2691.539,0.691278257,0.048106822,0,0,BLG-AB
16.2994,1586.172,55.1597,2695.843,0.559589377,0.042952292,0,0,BLG-AB
14.1868,1585.65,54.8065,2695.275,0.483157077,0.045146867,0,0,BLG-AB
